REGION;COMUNA;URBANIDAD
ÑUBLE;SAN FABIAN DE ALICO;RURAL
MAULE;LICANTEN;RURAL
BIO-BIO;SANTA BARBARA;RURAL
ÑUBLE;EL CARMEN;RURAL
LA ARAUCANIA;GALVARINO;RURAL
ÑUBLE;PINTO;RURAL
ARICA;PUTRE;RURAL
LOS RIOS;LAGO RANCO;RURAL
METROPOLITANA;PADRE HURTADO;URBANO
LOS RIOS;LOS LAGOS;SEMIURBANO
MAULE;PELARCO;RURAL
VALPARAISO;ZAPALLAR;SEMIURBANO
ÑUBLE;COIHUECO;SEMIURBANO
ATACAMA;DIEGO DE ALMAGRO;SEMIURBANO
AYSÉN;COCHRANE;RURAL
MAULE;SAGRADA FAMILIA;SEMIURBANO
MAULE;CHANCO;RURAL
ARICA;CAMARONES;RURAL
ATACAMA;CHAÑARAL;SEMIURBANO
LOS RIOS;CORRAL;RURAL
ATACAMA;HUASCO;SEMIURBANO
ÑUBLE;ÑIQUEN;RURAL
LOS LAGOS;SAN JUAN DE LA COSTA;RURAL
OHIGGINS;PLACILLA;RURAL
ÑUBLE;NIQUEN;RURAL
OHIGGINS;CODEGUA;RURAL
OHIGGINS;OLIVAR;RURAL
LOS LAGOS;PUYEHUE ENTRELAGOS;RURAL
ANTOFAGASTA;SAN PEDRO DE ATACAMA;RURAL
MAULE;RIO CLARO;RURAL
LA ARAUCANIA;LUMACO;RURAL
BIO-BIO;QUILLECO;RURAL
BIO-BIO;ANTUCO;RURAL
METROPOLITANA;CALERA DE TANGO;SEMIURBANO
ÑUBLE;PEMUCO;RURAL
BIO-BIO;LOS ALAMOS;SEMIURBANO
METROPOLITANA;MARIA PINTO;RURAL
VALPARAISO;CALLE LARGA;SEMIURBANO
ÑUBLE;SAN NICOLAS;RURAL
ÑUBLE;NINHUE;RURAL
ANTOFAGASTA;MEJILLONES;SEMIURBANO
MAGALLANES;PORVENIR;RURAL
ATACAMA;ALTO DEL CARMEN;RURAL
TARAPACA;HUARA;RURAL
BIO-BIO;CONTULMO;RURAL
TARAPACA;PICA;RURAL
LOS RIOS;MAFIL;RURAL
MAULE;PELLUHUE;RURAL
BIO-BIO;ALTO BIO BIO;RURAL
TARAPACA;COLCHANE;RURAL
VALPARAISO;ISLA DE PASCUA;RURAL
ARICA;GENERAL LAGOS;RURAL
LOS LAGOS;QUEILEN;RURAL
BIO-BIO;QUILACO;RURAL
LOS LAGOS;PUQUELDON;RURAL
COQUIMBO;RIO HURTADO;RURAL
OHIGGINS;LA ESTRELLA;RURAL
ANTOFAGASTA;MARIA ELENA;RURAL
TARAPACA;CAMIÑA;RURAL
AYSÉN;PUERTO CISNES;RURAL
LA ARAUCANIA;RENAICO;SEMIURBANO
OHIGGINS;COINCO;RURAL
VALPARAISO;JUAN FERNANDEZ;RURAL
AYSÉN;LAS GUAITECAS;RURAL
MAULE;EMPEDRADO;RURAL
AYSÉN;RIO IBAÑEZ;RURAL
